Date,Product_ID,Category,Product_Group,Price,Rating,Marketing_Spend,Stock_Available,Sales,Revenue,Customer_ID,Region,Launch_Flag
2024-01-20,P7,Personal Care,G3,114.42,4.4,2706,1,32,3661.44,6445,West,0
2024-11-01,P6,Beverages,G2,69.73,3.4,2003,1,24,1673.52,8302,South,0
2024-12-13,P19,Snacks,G7,27.54,4.2,1311,1,27,743.5799999999999,9841,South,0
2023-01-10,P13,Dairy,G5,26.19,3.8,3196,1,30,785.7,6229,West,0
2024-05-13,P12,Personal Care,G4,107.72,3.3,1324,1,25,2693.0,2698,North,0
2023-04-26,P11,Household,G4,325.84,4.6,142,1,28,9123.519999999999,6790,West,0
2023-01-22,P4,Dairy,G2,71.37,4.2,106,1,20,1427.4,3123,South,0
2023-10-26,P12,Personal Care,G4,137.13,3.5,2364,1,31,4251.03,1248,South,0
2023-06-25,P3,Personal Care,G1,89.88,3.8,3659,1,31,2786.2799999999997,4457,West,0
2023-06-05,P12,Personal Care,G4,216.75,3.2,3560,1,18,3901.5,6596,West,0
2023-02-27,P25,Snacks,G9,18.82,3.2,4908,1,33,621.0600000000001,4022,West,0
2023-03-31,P25,Snacks,G9,11.75,3.6,1568,1,31,364.25,8900,East,0
2024-10-28,P22,Dairy,G8,57.79,3.4,426,1,28,1618.12,4818,West,0
2023-09-27,P15,Household,G5,487.97,4.3,375,1,23,11223.310000000001,9176,North,0
2023-02-05,P16,Beverages,G6,82.26,3.4,3246,1,20,1645.2,9785,South,0
2024-12-21,P12,Personal Care,G4,232.18,4.7,2771,1,36,8358.48,6404,West,0
2023-07-21,P10,Dairy,G4,15.22,4.0,638,1,31,471.82,7737,East,0
2023-07-17,P20,Household,G7,178.72,3.7,3718,1,27,4825.44,3886,North,0
2023-01-20,P5,Dairy,G2,31.11,4.8,578,1,34,1057.74,7180,North,0
2023-01-23,P14,Beverages,G5,33.86,4.7,998,1,27,914.22,8252,East,0
2023-11-12,P13,Dairy,G5,31.14,4.3,1682,1,35,1089.9,7820,West,0
2024-12-04,P10,Dairy,G4,40.29,4.7,4882,1,22,886.38,7443,South,0
2024-01-25,P23,Household,G8,265.38,3.8,4001,1,19,5042.22,9356,East,0
2024-07-13,P25,Snacks,G9,15.98,4.3,3850,1,37,591.26,4275,South,0
2023-04-09,P17,Household,G6,266.29,3.3,2568,1,18,4793.22,6436,South,0
2024-09-12,P19,Snacks,G7,28.63,4.0,2859,1,30,858.9,8513,East,0
2024-08-29,P24,Snacks,G8,37.3,3.7,1939,1,31,1156.3,8921,East,0
2023-07-21,P2,Dairy,G1,40.21,3.3,4194,1,24,965.04,2958,North,0
2023-03-07,P25,Snacks,G9,36.02,4.3,67,1,25,900.5000000000001,1757,South,0
2024-11-01,P15,Household,G5,436.07,4.2,2654,1,21,9157.47,9224,East,0
2023-08-19,P3,Personal Care,G1,118.26,4.5,3473,0,33,3902.5800000000004,4846,South,0
2024-08-22,P16,Beverages,G6,66.03,4.9,2712,1,31,2046.93,5868,South,0
2024-11-29,P22,Dairy,G8,17.27,3.7,2390,1,30,518.1,8290,East,0
2024-12-27,P11,Household,G4,306.25,4.2,3066,1,30,9187.5,6780,West,0
2023-10-12,P13,Dairy,G5,78.88,3.3,1695,1,29,2287.52,4315,West,0
2023-11-13,P22,Dairy,G8,72.98,3.4,3255,1,27,1970.46,1494,South,0
2023-05-01,P11,Household,G4,270.5,3.1,1391,1,22,5951.0,7339,West,0
2023-01-25,P18,Dairy,G6,44.46,4.3,4346,1,29,1289.34,7234,South,0
2023-01-26,P22,Dairy,G8,68.39,3.7,3969,1,29,1983.31,8762,East,0
2024-10-06,P15,Household,G5,246.31,4.4,1352,1,19,4679.89,6814,East,0
2023-03-30,P7,Personal Care,G3,292.92,3.2,2521,1,20,5858.400000000001,4846,South,0
2023-09-03,P7,Personal Care,G3,230.59,4.8,3699,1,28,6456.52,1486,West,0
2024-06-02,P5,Dairy,G2,33.15,3.6,1332,0,26,861.9,8032,North,1
2024-07-07,P9,Personal Care,G3,175.8,4.7,4396,1,20,3516.0,3980,South,0
2023-09-14,P8,Personal Care,G3,249.31,4.5,3761,1,18,4487.58,2434,East,0
2024-04-20,P14,Beverages,G5,43.63,4.5,72,0,31,1352.53,4919,South,0
